hdirank,country,countryid,region,humandevelopmentdegree,gdivalue,gdigroup,hdifemale,hdimale,sdg3female,sdg3male,sdg43female,sdg43male,sdg44female,sdg44male,sdg85female,sdg85male
25,Bulgaria,BGR,Europe and Central Asia,VERY HIGH,0.995,1,0.813,0.817,78.7,71.6,14.6,14.2,11.5,11.2,18453.14744,28482.73512
26,Panama,PAN,Latin America and the Caribbean,VERY HIGH,1.019,1,0.826,0.811,81.8,75.4,13.5,12.4,11.2,10.0,24049.68358,35049.003
27,Barbados,BRB,Latin America and the Caribbean,VERY HIGH,1.008,1,0.816,0.809,80.5,77.8,16.8,14.0,11.0,10.3,12655.90045,17370.23163
28,Oman,OMN,Arab States,VERY HIGH,0.936,3,0.768,0.821,80.3,76.1,15.0,13.7,10.6,9.4,7959.235463,35201.07908
29,Georgia,GEO,Europe and Central Asia,VERY HIGH,0.980,1,0.800,0.817,78.1,69.3,15.5,15.0,13.2,13.1,9475.462159,19863.70014
30,Costa Rica,CRI,Latin America and the Caribbean,VERY HIGH,0.981,1,0.802,0.818,82.9,77.7,16.4,15.4,8.9,8.6,13476.27904,23501.39535
31,Malaysia,MYS,East Asia and the Pacific,VERY HIGH,0.972,2,0.797,0.821,78.3,74.2,14.0,13.3,10.3,10.5,20824.62258,33877.30487
32,Kuwait,KWT,Arab States,VERY HIGH,0.983,1,0.793,0.807,76.6,74.8,15.2,13.2,8.0,6.8,31697.75369,75839.64558
33,Serbia,SRB,Europe and Central Asia,VERY HIGH,0.977,1,0.797,0.815,78.6,73.4,15.3,14.2,10.8,11.6,13989.97628,20525.48347
34,Mauritius,MUS,Sub-Saharan Africa,VERY HIGH,0.976,1,0.791,0.811,78.5,71.7,15.7,14.4,9.4,9.7,15870.12575,34898.00545
35,Cuba,CUB,Latin America and the Caribbean,HIGH,0.944,3,0.754,0.799,80.8,76.8,14.7,13.9,11.2,11.8,5714.23146,11567.29114
36,Sri Lanka,LKA,South Asia,HIGH,0.955,2,0.759,0.794,80.3,73.6,14.5,13.8,10.6,10.6,7433.100498,18423.27726
37,Bosnia and Herzegovina,BIH,Europe and Central Asia,HIGH,0.937,3,0.753,0.803,79.9,74.9,14.1,13.5,8.9,10.9,10566.53285,19356.56489
